Accession	Title	Series	InferCondition	Replicate
GSM2674833	leaf_control_Erkner_rep1	GSE100221	leaf_control_Erkner_rep1	
GSM2674834	leaf_control_Friesland_rep2	GSE100221	leaf_control_Friesland_rep2	
GSM2674835	leaf_control_Siethen_rep3	GSE100221	leaf_control_Siethen_rep3	
GSM2674836	leaf_eggs_Erkner_rep1	GSE100221	leaf_eggs_Erkner_rep1	
GSM2674837	leaf_eggs_Friesland_rep2	GSE100221	leaf_eggs_Friesland_rep2	
GSM2674838	leaf_eggs_Siethen_rep3	GSE100221	leaf_eggs_Siethen_rep3	
GSM2705187	Untreated rep1	GSE101508	Untreated	1
GSM2705188	Untreated rep2	GSE101508	Untreated	2
GSM2705189	IFNγ+LPS rep1	GSE101508	IFNγ+LPS	1
GSM2705190	IFNγ+LPS rep2	GSE101508	IFNγ+LPS	2
GSM2705191	50µM C01L_F03 IFNγ+LPS rep1	GSE101508	50µM C01L_F03 IFNγ+LPS	1
GSM2705192	50µM C01L_F03 IFNγ+LPS rep2	GSE101508	50µM C01L_F03 IFNγ+LPS	2
GSM2705193	25µM STX-0119 IFNγ+LPS rep1	GSE101508	25µM STX-0119 IFNγ+LPS	1
GSM2705194	25µM STX-0119 IFNγ+LPS rep2	GSE101508	25µM STX-0119 IFNγ+LPS	2
GSM2705195	10µM STATTIC IFNγ+LPS rep1	GSE101508	10µM STATTIC IFNγ+LPS	1
GSM2705196	10µM STATTIC IFNγ+LPS rep2	GSE101508	10µM STATTIC IFNγ+LPS	2
GSM262297	Brain_animal-4453_line-61	GSE10380	Brain_animal-4453_line-61	
GSM262298	Brain_animal-4626_line-6	GSE10380	Brain_animal-4626_line-6	
GSM262299	Brain_animal-4535_line-61	GSE10380	Brain_animal-4535_line-61	
GSM262300	Brain_animal-4679_line-6	GSE10380	Brain_animal-4679_line-6	
GSM262301	Brain_animal-4086_line-62	GSE10380	Brain_animal-4086_line-62	
GSM262302	Brain_animal-4554_line-61	GSE10380	Brain_animal-4554_line-61	
GSM262303	Brain_animal-4156_line-62	GSE10380	Brain_animal-4156_line-62	
GSM262304	Brain_animal-4435_line-61	GSE10380	Brain_animal-4435_line-61	
GSM262305	Brain_animal-4521_line-61	GSE10380	Brain_animal-4521_line-61	
GSM262306	Brain_animal-4469_line-61	GSE10380	Brain_animal-4469_line-61	
GSM262307	Brain_animal-4424_line-61	GSE10380	Brain_animal-4424_line-61	
GSM262308	Brain_animal-4133_line-62	GSE10380	Brain_animal-4133_line-62	
GSM262309	Brain_animal-4464_line-61	GSE10380	Brain_animal-4464_line-61	
GSM262310	Brain_animal-4428_line-61	GSE10380	Brain_animal-4428_line-61	
GSM262311	Brain_animal-4173_line-62	GSE10380	Brain_animal-4173_line-62	
GSM262312	Brain_animal-4007_line-62	GSE10380	Brain_animal-4007_line-62	
GSM262313	Brain_animal-4540_line-61	GSE10380	Brain_animal-4540_line-61	
GSM262314	Brain_animal-4548_line-61	GSE10380	Brain_animal-4548_line-61	
GSM262315	Brain_animal-4211_line-62	GSE10380	Brain_animal-4211_line-62	
GSM262316	Brain_animal-4169_line-62	GSE10380	Brain_animal-4169_line-62	
GSM262317	Brain_animal-4431_line-61	GSE10380	Brain_animal-4431_line-61	
GSM262318	Brain_animal-4439_line-61	GSE10380	Brain_animal-4439_line-61	
GSM262319	Brain_animal-4109_line-62	GSE10380	Brain_animal-4109_line-62	
GSM262320	Brain_animal-4788_line-6	GSE10380	Brain_animal-4788_line-6	
GSM262321	Brain_animal-4011_line-62	GSE10380	Brain_animal-4011_line-62	
GSM262322	Brain_animal-4481_line-61	GSE10380	Brain_animal-4481_line-61	
GSM262323	Brain_animal-4561_line-61	GSE10380	Brain_animal-4561_line-61	
GSM262324	Brain_animal-4517_line-61	GSE10380	Brain_animal-4517_line-61	
GSM262325	Brain_animal-4205_line-62	GSE10380	Brain_animal-4205_line-62	
GSM262326	Brain_animal-4813_line-6	GSE10380	Brain_animal-4813_line-6	
GSM262327	Brain_animal-4722_line-6	GSE10380	Brain_animal-4722_line-6	
GSM262328	Brain_animal-4528_line-61	GSE10380	Brain_animal-4528_line-61	
GSM262329	Brain_animal-4475_line-61	GSE10380	Brain_animal-4475_line-61	
GSM262330	Brain_animal-4447_line-61	GSE10380	Brain_animal-4447_line-61	
GSM262331	Brain_animal-4489_line-61	GSE10380	Brain_animal-4489_line-61	
GSM262332	Brain_animal-4666_line-6	GSE10380	Brain_animal-4666_line-6	
GSM262333	Brain_animal-4445_line-61	GSE10380	Brain_animal-4445_line-61	
GSM262334	Brain_animal-4112_line-62	GSE10380	Brain_animal-4112_line-62	
GSM262335	Brain_animal-4036_line-62	GSE10380	Brain_animal-4036_line-62	
GSM262336	Brain_animal-4130_line-62	GSE10380	Brain_animal-4130_line-62	
GSM262337	Brain_animal-4669_line-6	GSE10380	Brain_animal-4669_line-6	
GSM262338	Brain_animal-4515_line-61	GSE10380	Brain_animal-4515_line-61	
GSM262339	Brain_animal-4551_line-61	GSE10380	Brain_animal-4551_line-61	
GSM262340	Brain_animal-4800_line-6	GSE10380	Brain_animal-4800_line-6	
GSM262341	Brain_animal-4204_line-62	GSE10380	Brain_animal-4204_line-62	
GSM262342	Brain_animal-4240_line-62	GSE10380	Brain_animal-4240_line-62	
GSM262343	Brain_animal-4082_line-62	GSE10380	Brain_animal-4082_line-62	
GSM262344	Brain_animal-4065_line-62	GSE10380	Brain_animal-4065_line-62	
GSM262345	Brain_animal-4467_line-61	GSE10380	Brain_animal-4467_line-61	
GSM262346	Brain_animal-4100_line-62	GSE10380	Brain_animal-4100_line-62	
GSM262347	Brain_animal-4097_line-62	GSE10380	Brain_animal-4097_line-62	
GSM262348	Brain_animal-4524_line-61	GSE10380	Brain_animal-4524_line-61	
GSM262349	Brain_animal-4218_line-62	GSE10380	Brain_animal-4218_line-62	
GSM262350	Brain_animal-4826_line-6	GSE10380	Brain_animal-4826_line-6	
GSM262351	Brain_animal-4105_line-62	GSE10380	Brain_animal-4105_line-62	
GSM262352	Brain_animal-4365_line-61	GSE10380	Brain_animal-4365_line-61	
GSM262353	Brain_animal-4712_line-6	GSE10380	Brain_animal-4712_line-6	
GSM262354	Brain_animal-4058_line-62	GSE10380	Brain_animal-4058_line-62	
GSM262355	Brain_animal-4538_line-61	GSE10380	Brain_animal-4538_line-61	
GSM262356	Brain_animal-4124_line-62	GSE10380	Brain_animal-4124_line-62	
GSM262357	Brain_animal-4877_line-6	GSE10380	Brain_animal-4877_line-6	
GSM262358	Brain_animal-4294_line-62	GSE10380	Brain_animal-4294_line-62	
GSM262359	Brain_animal-4392_line-61	GSE10380	Brain_animal-4392_line-61	
GSM262360	Brain_animal-4299_line-62	GSE10380	Brain_animal-4299_line-62	
GSM262361	Brain_animal-4841_line-6	GSE10380	Brain_animal-4841_line-6	
GSM262362	Brain_animal-4513_line-61	GSE10380	Brain_animal-4513_line-61	
GSM262363	Brain_animal-4500_line-61	GSE10380	Brain_animal-4500_line-61	
GSM262364	Brain_animal-4286_line-62	GSE10380	Brain_animal-4286_line-62	
GSM262365	Brain_animal-4072_line-62	GSE10380	Brain_animal-4072_line-62	
GSM262366	Brain_animal-4074_line-62	GSE10380	Brain_animal-4074_line-62	
GSM262367	Brain_animal-4045_line-62	GSE10380	Brain_animal-4045_line-62	
GSM262368	Brain_animal-4808_line-6	GSE10380	Brain_animal-4808_line-6	
GSM262369	Brain_animal-4148_line-62	GSE10380	Brain_animal-4148_line-62	
GSM262370	Brain_animal-4009_line-62	GSE10380	Brain_animal-4009_line-62	
GSM262371	Brain_animal-4532_line-61	GSE10380	Brain_animal-4532_line-61	
GSM262372	Brain_animal-4231_line-62	GSE10380	Brain_animal-4231_line-62	
GSM262373	Brain_animal-4262_line-62	GSE10380	Brain_animal-4262_line-62	
GSM262374	Brain_animal-4684_line-6	GSE10380	Brain_animal-4684_line-6	
GSM262375	Brain_animal-4682_line-6	GSE10380	Brain_animal-4682_line-6	
GSM262376	Brain_animal-4419_line-61	GSE10380	Brain_animal-4419_line-61	
GSM262377	Brain_animal-4271_line-62	GSE10380	Brain_animal-4271_line-62	
GSM262378	Brain_animal-4250_line-62	GSE10380	Brain_animal-4250_line-62	
GSM262379	Brain_animal-4862_line-6	GSE10380	Brain_animal-4862_line-6	
GSM262380	Brain_animal-4574_line-61	GSE10380	Brain_animal-4574_line-61	
GSM262381	Brain_animal-4569_line-61	GSE10380	Brain_animal-4569_line-61	
GSM262382	Brain_animal-4375_line-61	GSE10380	Brain_animal-4375_line-61	
GSM262383	Brain_animal-4495_line-61	GSE10380	Brain_animal-4495_line-61	
GSM262384	Brain_animal-4061_line-62	GSE10380	Brain_animal-4061_line-62	
GSM262385	Brain_animal-4232_line-62	GSE10380	Brain_animal-4232_line-62	
GSM262386	Brain_animal-4050_line-62	GSE10380	Brain_animal-4050_line-62	
GSM262387	Brain_animal-4849_line-6	GSE10380	Brain_animal-4849_line-6	
GSM262388	Brain_animal-4147_line-62	GSE10380	Brain_animal-4147_line-62	
GSM262389	Brain_animal-4413_line-61	GSE10380	Brain_animal-4413_line-61	
GSM262390	Brain_animal-4806_line-6	GSE10380	Brain_animal-4806_line-6	
GSM262391	Brain_animal-4233_line-62	GSE10380	Brain_animal-4233_line-62	
GSM262392	Brain_animal-4835_line-6	GSE10380	Brain_animal-4835_line-6	
GSM262393	Brain_animal-4292_line-62	GSE10380	Brain_animal-4292_line-62	
GSM262394	Brain_animal-4729_line-6	GSE10380	Brain_animal-4729_line-6	
GSM262395	Brain_animal-4822_line-6	GSE10380	Brain_animal-4822_line-6	
GSM262396	Brain_animal-4685_line-6	GSE10380	Brain_animal-4685_line-6	
GSM262397	Brain_animal-4053_line-62	GSE10380	Brain_animal-4053_line-62	
GSM262398	Brain_animal-4832_line-6	GSE10380	Brain_animal-4832_line-6	
GSM262399	Brain_animal-4709_line-6	GSE10380	Brain_animal-4709_line-6	
GSM262400	Brain_animal-4042_line-62	GSE10380	Brain_animal-4042_line-62	
GSM262401	Brain_animal-4028_line-62	GSE10380	Brain_animal-4028_line-62	
GSM262402	Brain_animal-4395_line-61	GSE10380	Brain_animal-4395_line-61	
GSM262403	Brain_animal-4246_line-62	GSE10380	Brain_animal-4246_line-62	
GSM262404	Brain_animal-4307_line-62	GSE10380	Brain_animal-4307_line-62	
